18656400;0
308084800;1
310866200;0
311046100;1
312513700;0
314883800;1
316132800;0
602628300;1
1730593000;0
1768466900;1
1769918200;0
1770425500;1
1771723600;0
1772073000;1
1773734400;0
1774100900;1
2188031000;0
2191104200;1
2191619800;0
2192018600;1
2192551500;0
2192910000;1
2193425000;0
2193799400;1
3247118900;0
3318446500;1
3320982100;0
3321150000;1
3323019100;0
3323141300;1
3324877300;0
3325005000;1
4558710000;0
4592468900;1
4593713200;0
4593861100;1
4594817000;0
4594962600;1
4595931900;0
4596077100;1
4837969000;0
4871473200;1
4872840900;0
4873005000;1
4873941600;0
4874049700;1
4874980200;0
5316074000;1
6422554100;0
6456470900;1
6457878900;0
6458187700;1
6459178400;0
6459539800;1
6460769500;0
7240754200;1
7687205200;0
7721500200;1
7722950700;0
7723124600;1
7724090100;0
7724387700;1
7725175100;0
7725578000;1
8150827200;0
8151234900;1
8152737200;0
8152926700;1
8153904800;0
8154065700;1
8155091100;0
9552455800;1
9856802900;0
9857171800;1
9858810400;0
9859063700;1
9860165500;0
9860538200;1
9861664400;0
10122029400;1
11601349900;0
